grant_id,project_num,core_project_num,subproject_id,fiscal_year,abstract,abstract_source,awardee_org
131911,2R01DK035090-21,R01DK035090,,2004,"DESCRIPTION (provided by applicant): We aim to extend our understanding of the structure and function of cytochrome P450 and other heme protein systems by using pump-probe kinetics and time resolved resonance Raman spectroscopy over a wide dynamic range in time (ps-ms). Development of a unique temporally stabilized, and electronically tunable, two-color picosecond laser system will enable both the transient Raman and the kinetic studies. Femtosecond coherence spectroscopy (FCS), which is a direct and unique probe of the coherent protein/cofactor vibrational motion induced by electronic transitions associated with biochemical reactions, will also be utilized in studies of the biochemical reaction coordinates as well as the global protein response. One specific hypothesis to be tested addresses the reason behind the anomalously low femtosecond quantum yield for O2 photolysis and the potential for a transient side-on oxygen binding geometry that arises because of the participation of ligand bending modes in the reaction coordinate for dissociation. Vibrationally hot six coordinate oxymyoglobin species have already been detected using white light continuum probes, and we propose to extend such studies to the P450 system and its catalytic intermediates as well as to expand the probe capability to include picosecond Raman scattering techniques. Experiments at low temperature will also be carried out using newly developed optical techniques. These experiments will include the first picosecond and femtosecond studies of geminate ligand recombination as a function of temperature. Exploratory work with the Raman microscope will continue with spatially specific probes of mitochondria and with studies of P450 embedded in membrane nanodiscs.   
  
Overall this project has a wide range of health related implications involving cytochrome P450 in particular and heme proteins in general. Many chemotherapeutic agents as well as polycyclic carcinogens are metabolized by P450 systems. Moreover, all metabolic disorders involving a P450 protein must relate to this research, since a fundamental understanding of the active site structure and function of P450 at the molecular level will result in a better insight for those concerned with treatment of these disorders at any level.",nih_reporter,NORTHEASTERN UNIVERSITY
131995,3T32DA007312-05S2,T32DA007312,,2005,"EXCEED THE SPACE PROVIDED.  This program of Medications Development for Drugs of Abuse will seek to train future scientists in the field of drug discovery at both the predoctoral and post-doctoral levels with a particular emphasis on therapies related to Drugs of Abuse. It will utilize a multidisciplinary approach including the discovery, design, synthesis and testing of novel therapeutic drugs. The program will encompass modern approaches currently utilized in drug discovery including rational drug design and high throughput screening (HTS). These will be combined with modern synthetic methods used in the preparation of novel drug candidates and combinatorial approaches for the development of suitable compound libraries. In addition, the trainees will be educated in a wide spectrum of drug abuse research a process which will' familiarize them with the chemical, biochemical, physiological, pharmacological, and clinical aspects associated with this field of research.  The post-doctoral research training component will seek to develop scientists with a strong background in the discovery and synthesis of novel medications for drug abuse treatment. Rational drug design will be combined with high throughput and combinatorial approaches currently utilized in the pharmaceutical industry. Through this program the post-doctoral trainees who may have obtained their earlier education in any of the chemical, pharmaceutical, or biomedical sciences will have an excellent opportunity to develop careers in the medicinal chemistry or molecular pharmacology of drugs of abuse.  Predoctoral students will have a choice of three different Ph.D. programs pharmaceutical sciences (medicinal chemistry/drug design); biomedical sciences (molecular pharmacology/drug discovery); chemistry (organic chemistry/drug synthesis). As a result of this program, all of the predoctoral students will receive extensive education in the chemistry and biology of drugs of abuse and will be encouraged to pursue research careers or further training in this field of science.  This program which will function within the Center for Drug Discovery is, to our knowledge, a unique approach to develop promising new scientists who will engage in the development of medications to combat drug abuse. PERFORMANCE SITE ========================================Section End===========================================",nih_reporter,NORTHEASTERN UNIVERSITY
134705,7R01HD045639-06,R01HD045639,,2008,"DESCRIPTION (provided by applicant): The acquisition and adaptation of perceptual-motor is fundamental to everyday life. In the inquiry of skill acquisition and control the concepts of stability and variability have played a central role, albeit with different definitions and levels of rigor. Most commonly, improvement of performance has been associated with a decrease in variability of some task parameters. This reduced variability, in turn, has been interpreted as an increase in stability. This inverse relationship obscures that empirical variability can be indicative of many different facets, ranging from the obvious ""lack of control"", seen as errors or inconstancy in target-oriented tasks, to more beneficial aspects, such as compensatory variation between parameters, and exploration of new tasks. Abnormal levels of variability are characteristic for dysfunctional behavior, as evidenced in tremor, excessive movements, or stereotypy, the absence of fluctuations. A fundamental assumption in our approach is that a certain irreducible level of ""noise"" is a basic expression of biological systems. Hence, also stability is more than invariance of some performance parameter. Specifically, dynamical stability is defined as resistance to perturbations, which can be quantified independently from variability. The project examines skill acquisition in two tasks to differentiate our understanding of variability and stability in human action. In skittles, a target-oriented throwing action under feedforward control, we develop a method to decompose variability into three independent components: tolerance, covariation, and noise, each capturing a separate contribution to successful behavior. In 6 experiments we test how different components of variability contribute in different stages of learning, and how stochastic noise can be a means to find successful solutions. The second task is the continuous perceptually-guided skill of rhythmically bouncing a ball. Previous modeling work derived criteria for dynamically stable performance and we showed that subjects used this ""passive"" stability. Six experiments examine how skill acquisition is characterized by an increasing reliance on dynamical stability. Performance variability will be analyzed to test how different components contribute to this change in stability. Obtaining a deeper understanding of acquisition and the control of perceptual-motor tasks will advance knowledge for diagnosis of movement disorders as well as to develop methods of rehabilitation.",nih_reporter,NORTHEASTERN UNIVERSITY
239548,3R01CA047858-16S1,R01CA047858,,2004,"Most human cancers arise from epithelial cells and become life- threatening when they cross the basement membrane (BM), invade locally and metastasize.  An important unresolved problem is what causes carcinoma cells to transgress the BM barrier.  Our general hypothesis is that carcinoma cells use migration mechanisms similar to normal epithelial cells, and that we lack understanding of cancer invasion because of incomplete knowledge of the mechanisms controlling normal epithelial cells migration across BM.  To test this hypothesis, we propose studies on two epithelial integrins, alpha6beta4 and alpha3beta1, circumstantially associated with invading carcinomas.  Both of these integrins bind laminin-5 (Ln-5), an extracellular matrix component of BM, also associated with invasion.  Using as a model a non-tumorigenic epithelial cell line, HaCaT, we found that alpha6beta4 stimulates static adhesion and inhibits migration on Ln-5 via phosphatidylinositol 3-kinase (PI3-K).  In contrast, alpha3beta1 mediates Ln-5 migration via PI4-K.  Our hypothesis is that these integrin-linked signaling pathways are subverted in carcinoma cell invasion, particularly squamous and breast carcinoma.  Our Specific Aims are designed to test this hypothesis by dissecting molecular details of these pathways, and then using them to modify invasive behavior of squamous or breast carcinoma cells, ultimately in animal models for metastasis.  In Aim 1, we will test, in HaCaT cells, the role of focal adhesion kinase and tetraspanins in linking to PI4-K the alpha3beta1- dependent Ln-5 migration stiumulated by activating integrin antibody TS2/16, and will test the role of differentiation and protein kinase C in mediating alpha3beta1, PI4-K dependent migration induced by serum starvation.  In Aim 2, we will test in HaCaT cells whether alpha6beta4 clustering activates PI3-K, inhibiting migration and stimulating static adhesion, and whether alpha6beta4-dependent PI3-K activation requires localization to ventral plasmembrane domains, or cooperation of tyrosine-kinase receptors as Her2/neu, via simultaneous engagement on Ln-5.  For these studies, we will use Transwell migration assays, transfection of constitutively active and dominant negative variant of appropriate signaling molecules, as well as receptor and ligand fusion proteins.  In Aim 3, we will test the general applicability to cancer invasion of these migratory mechanisms first in a limited panel of carcinoma lines, then on a larger scale by detecting altered expression of their components via DNA microarray hybridization.  In Aim 4, we will transfect critical cDNA constructs we will have defined to test whether they increase invasiveness of select cell lines in BM invasion assays, in animal metastasis models and in spontaneously arising carcinomas in transgenic mice.",nih_reporter,VANDERBILT UNIVERSITY
84611,5K02MH001981-04,K02MH001981,,2005,"DESCRIPTION (provided by candidate): The PI's goal is to develop a multilevel      
 model for understanding emotional experience. Because there are no unqualified     
 indices of direct experience, the PI began studying representations of             
 emotional experience by examining the structure of self-reports. She discovered    
 individual differences in the precision with which emotional experiences are       
 represented over time, which she named emotional granularity. She chose the        
 affective circumplex as a methodological tool to model individual differences      
 in emotional granularity because its dimensions (valence and arousal) represent    
 the causal processes associated with granularity. The PI defined two               
 constructs, valence focus and arousal focus, to represent individual               
 differences in these processes as they apply to generating representations of      
 emotional experience. The PI's research has developed construct validity for       
 valence and arousal focus using procedures from varying levels of analysis         
 (social/personality, cognitive science, and psychophysiology); she plans to        
 continue this work during the K02 funding period. In addition, the PI proposes     
 an experimental research program to investigate the mechanisms that produce        
 emotional granularity. Her goal is to directly model the processes that valence    
 focus and arousal focus represent (rather than just measuring the indices as       
 she has done to date). The PI will begin with behaviorally oriented studies        
 utilizing methods from the cognitive neuroscience literature that have             
 well-established functional neuroanatomical correlates. The result will provide    
 a strong test of her hypotheses and will provide her with a clear functional       
 platform upon which to move to the next phase of her research program              
 (involving fMRI research). Moreover, the PI has developed her conceptual           
 analysis of valence focus and arousal focus into a theory of how emotional         
 experience is actually computed. Specifically, she hypothesizes that discrete      
 emotional experiences are generated and represented by applying declarative        
 emotion knowledge (associated with arousal focus) to core affective feelings of    
 valence (associated with valence focus) via working memory. On this view,          
 valence focus and arousal focus contribute to the granularity of felt              
 experience itself. This hypothesis will be tested using fMRI experiments (in       
 large part because fMRI methods provide the only way to test her hypotheses        
 about felt experience at the present time). If successful, this work will call     
 into question the assumption that emotional experience is epiphenomenal to         
 emotion itself. Emotional experiences will come to be viewed as fluid, emergent    
 phenomena that are constructed and elaborated via mental representations. In       
 the broadest context, it has the potential to impact research where emotion        
 plays some role.",nih_reporter,BOSTON COLLEGE
88369,7R34MH073116-04,R34MH073116,,2007,"DESCRIPTION (provided by applicant): This proposal is a first step in a line of research designed to better understand what occurs in busy, urban psychiatric emergency rooms (PERs). Little attention has been paid to the perspectives, attitudes and beliefs of the staff, consumers and other stakeholders involved in PER care, and the influence of these perspectives on the provision of care. This proposal focuses on PER staff. We will describe the work of PER staff and their interactions with patients by asking what PER staff do in the PER. We will describe staff understandings of the influences, particularly those related to the social context and contingencies of their work, on their interactions with patients - How do PER staff think and feel about what they do? We will assess staff attitudes and beliefs about patients who use the PER and the processes by which staff identify or label patients who use the PER. And finally we will explore in a preliminary fashion whether there are differences between patients labeled (either positively or negatively) by staff and other patients and to explore if there are differences in the content and nature of care in the PER received by consumers/patients based on staff identification or labeling. We will draw upon both qualitative and quantitative research methodologies. The proposal is informed by guiding theories which relate to the relationship between workplace characteristics and demands on staff, and staff perspectives on their work and the patients they work with. Labeling theory will help guide our analyses and interpretation of the results related to the potential impact of staff labeling on the process of care in the PER. Data collection methods will include structured observations, in-depth interviews, focus groups and a structured medical chart review with quantitative analyses. These data, which focus on the staff of the PER, will have tremendous implications for the designing of appropriate interventions and services within the PER and ultimately when integrated with research on consumers and other stake holders, to improve the clinical outcomes of people who use the PER. We must increase our understanding of the work of the PER staff, the staffs understanding's of their work, their attitudes about the patients they work with and the way the group patients who use the PER, and the potential impact of the labeling of staff on the process of PER care, if we are to provide psychiatric emergency care in ways that are appropriate for consumers/patients and PER staff.",nih_reporter,NORTHEASTERN UNIVERSITY
115840,5R01HL060133-07,R01HL060133,,2005,"Dilated cardiomyopathy (DCM) is the most common form of primary cardiac muscle disease, with prevalence estimated at 36.5 cases per 100,000. DCM is characterized by ventricular dilation, decreased myocardial contractility and cardiac output, and increased risk of sudden cardiac death. Ventricular myocytes isolated from failing hearts exhibit changes in expression levels of proteins involved in repolarization of the action potential (AP) and intracellular calcium (Ca2+) cycling. These changes are accompanied by reduction of junctional sarcoplasmic reticulum (JSR) Ca2+ concentration, peak intracellular Ca2+ transient amplitude, slowed diastolic Ca2+ extrusion and prolongation of AP duration. We have previously formulated a ""minimal"" computational model of the failing canine ventricular myocyte that incorporates experimental data on down-regulation of potassium (K+) currents and the SR Ca2+-ATPase, and up-regulation of the Na+-Ca2+ exchanger. This model is able to qualitatively reconstruct changes in AP and Ca2+ transient morphology observed in failing myocytes. Model simulations predict that down- regulation of the SR Ca2+-ATPase by itself produces significant prolongation of AP duration by reducing JSR Ca2+ level, JSR Ca2+ release and the magnitude of Ca2+-dependent inactivation of L-type Ca2+ current (ICa,L). This decreased Ca2+-dependent inactivation increases ICa,L during the plateau phase, thereby increasing AP duration. These model predictions are supported by results of preliminary experiments. This has led us to hypothesize that JSR Ca2+ level through effects on JSR Ca2+ release and Ca2+-dependent inactivation of ICa.L, modulates AP duration, and that this modulation is important under a range of conditions producing changes in JSR Ca2+ level, including heart failure. The general goal of the proposed research is to test this hypothesis by means of experiments coupled with computational modeling.",nih_reporter,JOHNS HOPKINS UNIVERSITY
115909,5R01HL070894-04,R01HL070894,,2005,"DESCRIPTION (provided by applicant): The fiber structure of the heart plays a critical role in shaping electrical propagation. Conduction is influenced by tissue geometric factors such as expansion and contraction, and is anisotropic, with current spread being most rapid in the direction of the fiber long axis. Spatial rate of change of fiber orientation also influences conduction properties. Remodeling of ventricular geometry and fiber organization, including development of interstitial fibrosis, is a prominent feature of several cardiac pathologies, and these alterations may figure importantly in arrhythmogenesis. A detailed knowledge of ventricular fiber structure, how it may be remodeled in cardiac pathology, and the effects of this remodeling on ventricular conduction is therefore of fundamental importance to the understanding of cardiac electro-mechanics in health and disease. We will investigate how anatomical remodeling of ventricular fiber structure influences ventricular conduction, using the canine tachycardia pacing-induced heart failure preparation as a model system. Several aims must be accomplished to do this. First, we will develop MR imaging methods for the rapid reconstruction of ventricular fiber structure. Second, we will use these methods to measure fiber structure in populations of normal and failing hearts. Third, we will develop mathematical methods for identifying statistically significant changes in fiber structure between normal and failing hearts. Fourth, we will measure electrical activation patterns in each heart that is anatomically reconstructed using MR imaging methods. Fifth, we will relate measured changes in fiber structure to measured changes of electrical propagation in each heart using both experimental approaches as well as computational models.",nih_reporter,JOHNS HOPKINS UNIVERSITY
127250,7R01HL059949-20,R01HL059949,,2017,"﻿   
DESCRIPTION (provided by applicant): Potassium (K+) channels are critical determinants of the electrical activity of the heart and when they malfunction life-threatening arrhythmias can result. PIP2 is a signaling phospholipid that for the past two decades has been recognized as a master regulator of ion channel activity. Although we have learned the most in inwardly rectifying K (Kir) channels that control the resting potential of cells about how PIP2 causes  + channel gating, our understanding of similar PIP2 control in voltage-gated K (Kv) channels that control the  + repolarization phase of the action potential is lacking. This proposal aims to push our understanding to the next level in each of these two important classes of ion channels. For Kir channels, with a crystal structure of Kir3.2 in complex with PIP2 and our ability to produce full-length purified protein we are ready to probe the mechanism of control of activity by protein phosphorylation. For the past decade we have realized that Kir3 channel phosphorylation by specific kinases can stimulate (e.g. Protein Kinase A - PKA) or inhibit (e.g. Protein Kinase C - PKC) activity by enhancing or retarding sensitivity to PIP2, respectively. In this proposal we hypothesize that the strategic phosphorylation of specific residues by PKC compete with PIP2 for positively charged Kir3 channel-PIP2 interacting residues, thus weakening the channel's ability to coordinate PIP2 and causing inhibition of channel activity. We propose to test this hypothesis by identifying in vitro PKC phosphorylated residues of Kir3 channels using Mass Spectrometry and employing computational modeling, mutagenesis and electrophysiology to probe the mechanism by which phosphorylation of a specific residue alters channel-PIP2 interactions and inhibits channel activity. For Kv channels, we present strong preliminary results showing that PIP2 controls the Kv2.1 channel slow inactivation which like other (voltage-dependent and voltage-independent) channels leads to a collapse of the selectivity filter. These novel data lead us to hypothesize that Kv2.1 PIP2 interacting residues are linked to the selectivity filter via a relay residue in the middle of the pore-lining S6 helix. We propose to tes this hypothesis using computational models, mutagenesis and electrophysiology and establishing this novel mechanism for controlling Kv channel activity, which may operate in additional Kv channels that display slow inactivation. Results from the proposed studies in the 5 cycle of this grant will advance our understanding of PIP2 gating th and its modulation by post-translational modification mechanisms to adjust channel activity. Our structural insights from Kir3 channels will be beneficial in our identification of novel PIP2-sensitive Kv2.1 channel residues. Our novel insights of the coupling of Kv2.1 PIP2 interacting residues to the selectivity filter of this channel will certainly guide us to pursue long-term studies in Kir3 channels to compare the coupling of PIP2- interacting sites to the selectivity filter of these channels, a process that remains unclear in the Kir field.",nih_reporter,NORTHEASTERN UNIVERSITY
128534,1R03DC007721-01,R03DC007721,,2005,"DESCRIPTION (provided by applicant): The goal of the current application is to develop molecular models of agonist and antagonist binding sites within the transmembrane (TM) domain of the human sweet taste receptor. We have selected for our studies on the sweetener cyclamate and the antagonist lactisol. We will identify the binding pockets in the sweet taste receptor for sweeteners, and sweet taste inhibitors, that are known to bind in the TM domain, by molecular docking and will test via mutagenesis studies. The model receptor and the docked complexes will serve as initial structures for molecular dynamics simulations in an attempt to understand the underlying mechanism of activation and inhibition of the sweet taste response. The molecular mechanism of agonists and antagonists binding and activation/inhibition of the sweet taste receptor may lead to rational structure based design of novel non-caloric sweeteners, which will aid in the fight against obesity and diabetes. Understanding the taste response mechanisms may also be important for developing new treatment methods for patients with taste malfunctions.",nih_reporter,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI
