grant_id,project_num,core_project_num,profile_id,full_name,is_contact_pi,org_name,is_neu_org,rank_order
131911,2R01DK035090-21,R01DK035090,1863677,Paul M. Champion,True,NORTHEASTERN UNIVERSITY,True,0
131995,3T32DA007312-05S1,T32DA007312,6274976,Alexandros  Makriyannis,True,NORTHEASTERN UNIVERSITY,True,0
134705,7R01HD045639-06,R01HD045639,7618869,Dagmar  Sternad,True,NORTHEASTERN UNIVERSITY,True,0
239548,3R01CA047858-16S1,R01CA047858,1880416,Vito  Quaranta,True,VANDERBILT UNIVERSITY,False,0
84611,5K02MH001981-04,K02MH001981,2201948,Lisa Feldman Barrett,True,BOSTON COLLEGE,False,0
88369,7R34MH073116-04,R34MH073116,1890648,Alisa K. Lincoln,True,NORTHEASTERN UNIVERSITY,True,0
115840,5R01HL060133-07,R01HL060133,1865780,RAIMOND Lester WINSLOW,True,JOHNS HOPKINS UNIVERSITY,False,0
115909,5R01HL070894-04,R01HL070894,1865780,RAIMOND Lester WINSLOW,True,JOHNS HOPKINS UNIVERSITY,False,0
127250,7R01HL059949-20,R01HL059949,1867929,Diomedes E. Logothetis,True,NORTHEASTERN UNIVERSITY,True,0
128534,1R03DC007721-01,R03DC007721,8176853,MENG  CUI,True,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,False,0
128558,5R03TW006020-03,R03TW006020,1867929,Diomedes E. Logothetis,True,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,False,0
130539,5R01CA096867-03,R01CA096867,6951649,CARLA  MATTOS,True,NORTH CAROLINA STATE UNIVERSITY RALEIGH,False,0
131840,5K23HD047480-02,K23HD047480,7848025,JESSICA ALYSE HOFFMAN,True,NORTHEASTERN UNIVERSITY,True,0
131846,5K25NS047138-03,K25NS047138,7598941,ARMEN  STEPANYANTS,True,NORTHEASTERN UNIVERSITY,True,0
131851,5P01DA009158-09,P01DA009158,6274976,Alexandros  Makriyannis,True,NORTHEASTERN UNIVERSITY,True,0
131860,5R01CA087571-04,R01CA087571,1891506,Richard A. Daynard,True,NORTHEASTERN UNIVERSITY,True,0
131864,5R01CA095522-03,R01CA095522,1966327,Mansoor M. Amiji,True,NORTHEASTERN UNIVERSITY,True,0
131877,1R01CA112561-01,R01CA112561,2063224,Michail  Sitkovsky,True,NORTHEASTERN UNIVERSITY,True,0
131881,1R01CA119617-01,R01CA119617,1966327,Mansoor M. Amiji,True,NORTHEASTERN UNIVERSITY,True,0
131889,5R01DA007215-13,R01DA007215,6274976,Alexandros  Makriyannis,True,NORTHEASTERN UNIVERSITY,True,0
131896,3R01DA010547-09S1,R01DA010547,1961109,Richard H. Melloni,True,NORTHEASTERN UNIVERSITY,True,0
131905,7R01DC003277-09,R01DC003277,1880426,Iris  Berent,True,NORTHEASTERN UNIVERSITY,True,0
131915,5R01EB001961-07,R01EB001961,1881249,Vladimir P Torchilin,True,NORTHEASTERN UNIVERSITY,True,0
