grant_id,full_name,faculty_id,faculty_name,match_score,proposed_is_copi
131911,Paul M. Champion,141547,"CHAMPION, PAUL M",93.75,False
131995,Alexandros  Makriyannis,148962,"MAKRIYANNIS, ALEXANDROS",97.77777777777777,False
134705,Dagmar  Sternad,62737,"STERNAD, DAGMAR",96.55172413793103,False
239548,Vito  Quaranta,2474499,"QUARANTA, VITO",96.29629629629629,False
84611,Lisa Feldman Barrett,526595,"BARRETT, LISA FELDMAN",97.5609756097561,False
127250,Diomedes E. Logothetis,708006,"LOGOTHETIS, DIOMEDES E",95.45454545454545,False
128534,MENG  CUI,1210650,"CUI, MENG",94.11764705882354,False
128558,Diomedes E. Logothetis,708006,"LOGOTHETIS, DIOMEDES E",95.45454545454545,False
130539,CARLA  MATTOS,1135712,"MATTOS, CARLA",96.0,False
131846,ARMEN  STEPANYANTS,140432,"STEPANYANTS, ARMEN B",91.89189189189189,False
131851,Alexandros  Makriyannis,148962,"MAKRIYANNIS, ALEXANDROS",97.77777777777777,False
131877,Michail  Sitkovsky,141038,"SITKOVSKY, MICHAIL V",91.89189189189189,False
131889,Alexandros  Makriyannis,148962,"MAKRIYANNIS, ALEXANDROS",97.77777777777777,False
131896,Richard H. Melloni,144896,"MELLONI, RICHARD H",94.44444444444444,False
131905,Iris  Berent,61928,"BERENT, IRIS",95.65217391304348,False
131915,Vladimir P Torchilin,141513,"TORCHILIN, VLADIMIR P",97.5609756097561,False
131918,Vladimir P Torchilin,141513,"TORCHILIN, VLADIMIR P",97.5609756097561,False
131926,Jeffrey W Ruberti,148920,"RUBERTI, JEFFREY W",97.14285714285714,False
131933,Kim  Lewis,148351,"LEWIS, KIM",94.73684210526315,False
131942,MARK C WILLIAMS,141540,"WILLIAMS, MARK C",96.7741935483871,False
131949,Vladimir P Torchilin,141513,"TORCHILIN, VLADIMIR P",97.5609756097561,False
131961,RUPAL  PATEL,141211,"PATEL, RUPAL",95.65217391304348,False
131968,Kim  Lewis,148351,"LEWIS, KIM",94.73684210526315,False
131969,Kim  Lewis,148351,"LEWIS, KIM",94.73684210526315,False
187087,SPIRO  PAVLOPOULOS,587783,"PAVLOPOULOS, SPIRO",97.14285714285714,False
191114,Ning  Wang,2689448,"WANG, NING",94.73684210526315,False
197509,CRAIG F FERRIS,400583,"FERRIS, CRAIG F",96.55172413793103,False
240242,Vito  Quaranta,2474499,"QUARANTA, VITO",96.29629629629629,False
244008,Vito  Quaranta,2474499,"QUARANTA, VITO",96.29629629629629,False
274485,Konstantin  Khrapko,1758757,"KHRAPKO, KONSTANTIN",97.29729729729729,False
274729,Jonathan Lee Tilly,1906425,"TILLY, JONATHAN LEE",97.29729729729729,False
275873,CHANGYAN  CHEN,1901568,"CHEN, CHANGYAN",96.29629629629629,False
278264,HAVA Karsenty AVRAHAM,1798988,"AVRAHAM, HAVA KARSENTY",97.67441860465117,False
278357,Jonathan Lee Tilly,1906425,"TILLY, JONATHAN LEE",97.29729729729729,False
278378,Konstantin  Khrapko,1758757,"KHRAPKO, KONSTANTIN",97.29729729729729,False
282025,Jonathan Lee Tilly,1906425,"TILLY, JONATHAN LEE",97.29729729729729,False
289833,Diomedes E. Logothetis,708006,"LOGOTHETIS, DIOMEDES E",95.45454545454545,False
297770,CRAIG F FERRIS,400583,"FERRIS, CRAIG F",96.55172413793103,False
647069,CRAIG F FERRIS,400583,"FERRIS, CRAIG F",96.55172413793103,False
948882,Raymond G. Booth,930340,"BOOTH, RAYMOND G",93.75,False
949485,TIMOTHY W. BICKMORE,959144,"BICKMORE, TIMOTHY W",94.73684210526315,False
1181583,Vito  Quaranta,2474499,"QUARANTA, VITO",96.29629629629629,False
1240216,Diomedes E. Logothetis,708006,"LOGOTHETIS, DIOMEDES E",95.45454545454545,False
1252390,LEE  MAKOWSKI,544933,"MAKOWSKI, LEE",96.0,False
89293,ANAND R ASTHAGIRI,504667,"ASTHAGIRI, ANAND R",97.14285714285714,False
108894,Daniel  Kim,1906890,"KIM, DANIEL",95.23809523809524,False
128326,REBECCA M SHANSKY,1134519,"SHANSKY, REBECCA M",97.14285714285714,False
131836,Alexandros  Makriyannis,148962,"MAKRIYANNIS, ALEXANDROS",97.77777777777777,False
131855,Kim  Lewis,148351,"LEWIS, KIM",94.73684210526315,False
131869,Michail  Sitkovsky,141038,"SITKOVSKY, MICHAIL V",91.89189189189189,False
131884,Vladimir P Torchilin,141513,"TORCHILIN, VLADIMIR P",97.5609756097561,False
131973,Jeffrey W Ruberti,148920,"RUBERTI, JEFFREY W",97.14285714285714,False
131975,Michail  Sitkovsky,141038,"SITKOVSKY, MICHAIL V",91.89189189189189,False
211511,HOOMAN  NOORCHASHM,2592117,"NOORCHASHM, HOOMAN",97.14285714285714,False
274907,Lisa Feldman Barrett,526595,"BARRETT, LISA FELDMAN",97.5609756097561,False
285505,Jonathan Lee Tilly,1906425,"TILLY, JONATHAN LEE",97.29729729729729,False
1181727,Alexandros  Makriyannis,148962,"MAKRIYANNIS, ALEXANDROS",97.77777777777777,False
1220092,CAROLYN W T LEE-PARSONS,141718,"LEE-PARSONS, CAROLYN W T",97.87234042553192,False
1235948,LEE  MAKOWSKI,544933,"MAKOWSKI, LEE",96.0,False
