grant_id,full_name,faculty_id,faculty_name,match_score,proposed_is_copi
1171240,David Kaeli,148296,"KAELI, DAVID R",100.0,False
1171799,Albert-Laszlo Barabasi,404727,"BARABASI, ALBERT-LASZLO",100.0,False
1172687,Sara Wadia-Fascetti,141701,"WADIA-FASCETTI, SARA J",100.0,False
1171279,Carla Brodley,1797506,"BRODLEY, CARLA ELIZABETH",100.0,False
1171382,Rajmohan Rajaraman,141967,"RAJARAMAN, RAJMOHAN",100.0,False
330286,Akram Alshawabkeh,141504,"ALSHAWABKEH, AKRAM N",100.0,False
332075,Dagmar Sternad,62737,"STERNAD, DAGMAR",100.0,False
335050,Herbert Levine,1383874,"LEVINE, HERBERT",100.0,False
336519,Slava Epstein,144190,"EPSTEIN, SLAVA S",100.0,False
340645,David Madigan,1538692,"MADIGAN, DAVID BENNETT",100.0,False
341866,Octavia Camps,926134,"CAMPS, OCTAVIA",100.0,False
341866,Mario Sznaier,926130,"SZNAIER, MARIO",100.0,True
310732,Claire Duggan,141388,"DUGGAN, CLAIRE",100.0,False
310732,Charles A DiMarzio,141028,"DIMARZIO, CHARLES",100.0,True
326755,Matthias Felleisen,141121,"FELLEISEN, MATTHIAS",100.0,False
341787,Seth Hutchinson,2481837,"HUTCHINSON, SETH",100.0,False
348616,Sergey Kravchenko,124859,"KRAVCHENKO, SERGEY",100.0,False
351927,Carolyn Lee-Parsons,141718,"LEE-PARSONS, CAROLYN W T",100.0,False
355378,Pran Nath,141760,"NATH, PRAN",100.0,False
355378,Tomasz R Taylor,141152,"TAYLOR, TOMASZ R",100.0,True
357234,Ahmed Busnaina,141501,"BUSNAINA, AHMED",100.0,False
360395,Gene Cooperman,141650,"COOPERMAN, GENE D",100.0,False
360485,Maxim Braverman,141127,"BRAVERMAN, MAXIM",100.0,False
366934,Paul Champion,141547,"CHAMPION, PAUL M",100.0,False
366934,J Timothy T Sage,141634,"SAGE, J TIMOTHY",100.0,True
370129,ming wang,65927,"WANG, MING L",100.0,False
371473,Slava Epstein,144190,"EPSTEIN, SLAVA S",100.0,False
373378,Ahmed Busnaina,141501,"BUSNAINA, AHMED",100.0,False
373378,Nathan E Israeloff,141563,"ISRAELOFF, NATHAN E",100.0,True
373378,Sinan Muftu,141788,"MUFTU, SINAN",100.0,True
373423,Herbert Levine,1383874,"LEVINE, HERBERT",100.0,False
310776,Sara Wadia-Fascetti,141701,"WADIA-FASCETTI, SARA J",100.0,False
315986,Ennio Mingolla,1986558,"MINGOLLA, ENNIO",100.0,False
316125,John Coley,141896,"COLEY, JOHN",100.0,False
317705,Carla Mattos,1135712,"MATTOS, CARLA",100.0,False
317887,Mark Williams,141540,"WILLIAMS, MARK C",100.0,False
319213,Ozlem Ergun,1793351,"ERGUN, OZLEM",100.0,False
319498,Geoffrey Trussell,141448,"TRUSSELL, GEOFFREY C",100.0,False
322035,J Timothy Sage,141634,"SAGE, J TIMOTHY",100.0,False
322035,Paul M Champion,141547,"CHAMPION, PAUL M",100.0,True
323905,Hanumant Singh,1645994,"SINGH, HANUMANT",100.0,False
323974,Tomasz Taylor,141152,"TAYLOR, TOMASZ R",100.0,False
333371,Srinivas Sridhar,141846,"SRIDHAR, SRINIVAS",100.0,False
336375,Matthias Felleisen,141121,"FELLEISEN, MATTHIAS",100.0,False
341112,David Kaeli,148296,"KAELI, DAVID R",100.0,False
341164,Alexandru Suciu,148344,"SUCIU, ALEXANDRU ION",100.0,False
343409,Stephen Intille,541359,"INTILLE, STEPHEN S",100.0,False
343422,Edmund Yeh,1134983,"YEH, EDMUND",100.0,False
352053,Mary Jo Ondrechen,141740,"ONDRECHEN, MARY JO",100.0,False
354213,Lisa Feldman Barrett,526595,"BARRETT, LISA FELDMAN",100.0,False
354377,Brian Helmuth,197469,"HELMUTH, BRIAN",100.0,False
354463,James Benneyan,130033,"BENNEYAN, JAMES C",100.0,False
360778,Sagar Kamarthi,141459,"KAMARTHI, SAGAR V",100.0,False
362490,Ahmed Busnaina,141501,"BUSNAINA, AHMED",100.0,False
364490,Carla Brodley,1797506,"BRODLEY, CARLA ELIZABETH",100.0,False
368238,Haris Koutsopoulos,141034,"KOUTSOPOULOS, HARIS N",100.0,False
311212,Jennifer Dy,141178,"DY, JENNIFER G",100.0,False
311370,Slava Epstein,144190,"EPSTEIN, SLAVA S",100.0,False
312166,Albert-Laszlo Barabasi,404727,"BARABASI, ALBERT-LASZLO",100.0,False
313311,Yang Zhang,1057773,"ZHANG, YANG",100.0,False
314789,Phil Brown,1988111,"BROWN, PHIL",100.0,False
317419,Pran Nath,141760,"NATH, PRAN",100.0,False
318108,Carla Brodley,1797506,"BRODLEY, CARLA ELIZABETH",100.0,False
318448,Emanuela Barberis,141968,"BARBERIS, EMANUELA",100.0,False
324902,ming wang,65927,"WANG, MING L",100.0,False
325044,Phil Brown,1988111,"BROWN, PHIL",100.0,False
330853,Jonathan Weitsman,64157,"WEITSMAN, JONATHAN",100.0,False
330955,Milen Yakimov,1563315,"YAKIMOV, MILEN TCHERNEV",100.0,False
346735,Panagiotis Manolios,401004,"MANOLIOS, PANAGIOTIS PETE",100.0,False
346735,Olin G Shivers,933475,"SHIVERS, OLIN",100.0,True
352386,Rebecca K Willits,1519332,"WILLITS, REBECCA KUNTZ",93.75,True
352534,Carol Livermore,1130479,"LIVERMORE, CAROL",100.0,False
357954,Gavin Shatkin,1982129,"SHATKIN, GAVIN",100.0,False
360910,Ahmed Busnaina,141501,"BUSNAINA, AHMED",100.0,False
360910,Nicol E McGruer,141404,"MCGRUER, NICOL",100.0,True
361057,Albert-Laszlo Barabasi,404727,"BARABASI, ALBERT-LASZLO",100.0,False
361154,Milica Stojanovic,938959,"STOJANOVIC, MILICA",100.0,False
361225,Hanumant Singh,1645994,"SINGH, HANUMANT",100.0,False
363067,Hanumant Singh,1645994,"SINGH, HANUMANT",100.0,False
363067,Hanumant Singh,1645994,"SINGH, HANUMANT",100.0,True
363163,David Lazer,555562,"LAZER, DAVID M J",100.0,False
363194,Matthias Felleisen,141121,"FELLEISEN, MATTHIAS",100.0,False
363240,Panagiotis Manolios,401004,"MANOLIOS, PANAGIOTIS PETE",100.0,False
363296,Cristina Nita-Rotaru,1675635,"NITA-ROTARU, CRISTINA",100.0,False
368389,Patricia Mabrouk,144106,"MABROUK, PATRICIA A",100.0,False
370581,David Kaeli,148296,"KAELI, DAVID R",100.0,False
370581,Gene Cooperman,141650,"COOPERMAN, GENE D",100.0,True
313044,Milica Stojanovic,938959,"STOJANOVIC, MILICA",100.0,False
315120,David E Budil,141160,"BUDIL, DAVID E",100.0,True
315120,Sanjeev Mukerjee,141960,"MUKERJEE, SANJEEV",100.0,True
320231,Deniz Erdogmus,60309,"ERDOGMUS, DENIZ",100.0,False
323258,Vincent G Harris,144601,"HARRIS, VINCENT G",100.0,True
323281,Ali Abur,951814,"ABUR, ALI",100.0,False
323292,Jennifer Bowen,1137933,"BOWEN, JENNIFER LYNN",100.0,False
323698,Phil Brown,1988111,"BROWN, PHIL",100.0,True
324603,Dagmar Sternad,62737,"STERNAD, DAGMAR",100.0,False
